participant_id,program_name,age_group,enrollment_date,attendance_date,attended
1,STEM Club,7-May,1/15/2024,3/15/2024,1
1,STEM Club,7-May,1/15/2024,2/4/2024,0
1,STEM Club,7-May,1/15/2024,4/26/2024,1
1,STEM Club,7-May,1/15/2024,4/6/2024,1
1,STEM Club,7-May,1/15/2024,4/10/2024,0
1,STEM Club,7-May,1/15/2024,3/29/2024,1
1,STEM Club,7-May,1/15/2024,3/29/2024,1
1,STEM Club,7-May,1/15/2024,4/11/2024,1
1,STEM Club,7-May,1/15/2024,5/10/2024,0
1,STEM Club,7-May,1/15/2024,4/23/2024,0
1,STEM Club,7-May,1/15/2024,4/27/2024,1
1,STEM Club,7-May,1/15/2024,2/7/2024,1
2,STEM Club,13-Nov,7/8/2024,10/16/2024,1
2,STEM Club,13-Nov,7/8/2024,8/27/2024,1
2,STEM Club,13-Nov,7/8/2024,7/14/2024,1
2,STEM Club,13-Nov,7/8/2024,7/28/2024,1
2,STEM Club,13-Nov,7/8/2024,9/18/2024,0
2,STEM Club,13-Nov,7/8/2024,8/15/2024,1
2,STEM Club,13-Nov,7/8/2024,7/25/2024,1
3,STEM Club,7-May,1/8/2024,3/25/2024,1
3,STEM Club,7-May,1/8/2024,3/28/2024,1
3,STEM Club,7-May,1/8/2024,2/12/2024,0
3,STEM Club,7-May,1/8/2024,2/26/2024,1
3,STEM Club,7-May,1/8/2024,4/20/2024,0
3,STEM Club,7-May,1/8/2024,1/11/2024,1
3,STEM Club,7-May,1/8/2024,1/9/2024,1
3,STEM Club,7-May,1/8/2024,1/13/2024,1
3,STEM Club,7-May,1/8/2024,3/1/2024,0
3,STEM Club,7-May,1/8/2024,4/22/2024,1
3,STEM Club,7-May,1/8/2024,1/11/2024,1
3,STEM Club,7-May,1/8/2024,3/1/2024,1
3,STEM Club,7-May,1/8/2024,4/9/2024,1
3,STEM Club,7-May,1/8/2024,3/10/2024,0
3,STEM Club,7-May,1/8/2024,1/25/2024,1
3,STEM Club,7-May,1/8/2024,4/6/2024,0
3,STEM Club,7-May,1/8/2024,2/20/2024,1
3,STEM Club,7-May,1/8/2024,2/10/2024,1
3,STEM Club,7-May,1/8/2024,3/21/2024,1
3,STEM Club,7-May,1/8/2024,3/9/2024,0
3,STEM Club,7-May,1/8/2024,4/16/2024,1
3,STEM Club,7-May,1/8/2024,1/21/2024,1
3,STEM Club,7-May,1/8/2024,4/11/2024,1
3,STEM Club,7-May,1/8/2024,2/24/2024,1
3,STEM Club,7-May,1/8/2024,1/22/2024,1
3,STEM Club,7-May,1/8/2024,3/19/2024,1
3,STEM Club,7-May,1/8/2024,3/25/2024,0
3,STEM Club,7-May,1/8/2024,4/3/2024,1
3,STEM Club,7-May,1/8/2024,3/9/2024,1
3,STEM Club,7-May,1/8/2024,2/16/2024,1
3,STEM Club,7-May,1/8/2024,4/1/2024,1
3,STEM Club,7-May,1/8/2024,3/27/2024,1
3,STEM Club,7-May,1/8/2024,4/25/2024,1
3,STEM Club,7-May,1/8/2024,3/29/2024,1
3,STEM Club,7-May,1/8/2024,4/27/2024,0
3,STEM Club,7-May,1/8/2024,2/29/2024,0
3,STEM Club,7-May,1/8/2024,1/31/2024,0
3,STEM Club,7-May,1/8/2024,2/2/2024,1
3,STEM Club,7-May,1/8/2024,4/5/2024,1
4,STEM Club,10-Aug,5/30/2024,7/11/2024,1
4,STEM Club,10-Aug,5/30/2024,6/27/2024,1
4,STEM Club,10-Aug,5/30/2024,7/4/2024,1
4,STEM Club,10-Aug,5/30/2024,6/11/2024,1
4,STEM Club,10-Aug,5/30/2024,6/30/2024,0
4,STEM Club,10-Aug,5/30/2024,8/8/2024,1
4,STEM Club,10-Aug,5/30/2024,7/27/2024,1
4,STEM Club,10-Aug,5/30/2024,9/21/2024,1
4,STEM Club,10-Aug,5/30/2024,8/23/2024,1
4,STEM Club,10-Aug,5/30/2024,6/26/2024,0
4,STEM Club,10-Aug,5/30/2024,8/3/2024,1
4,STEM Club,10-Aug,5/30/2024,7/10/2024,1
4,STEM Club,10-Aug,5/30/2024,7/13/2024,1
4,STEM Club,10-Aug,5/30/2024,7/30/2024,1
4,STEM Club,10-Aug,5/30/2024,7/25/2024,1
4,STEM Club,10-Aug,5/30/2024,9/23/2024,1
4,STEM Club,10-Aug,5/30/2024,6/4/2024,1
4,STEM Club,10-Aug,5/30/2024,6/26/2024,1
4,STEM Club,10-Aug,5/30/2024,6/26/2024,1
5,After School Care,7-May,3/2/2024,4/9/2024,1
5,After School Care,7-May,3/2/2024,3/3/2024,1
5,After School Care,7-May,3/2/2024,3/4/2024,1
5,After School Care,7-May,3/2/2024,6/22/2024,1
5,After School Care,7-May,3/2/2024,6/10/2024,1
5,After School Care,7-May,3/2/2024,6/22/2024,1
5,After School Care,7-May,3/2/2024,4/26/2024,1
5,After School Care,7-May,3/2/2024,5/21/2024,0
5,After School Care,7-May,3/2/2024,4/29/2024,1
5,After School Care,7-May,3/2/2024,6/22/2024,1
5,After School Care,7-May,3/2/2024,3/3/2024,1
5,After School Care,7-May,3/2/2024,3/3/2024,1
5,After School Care,7-May,3/2/2024,6/1/2024,1
5,After School Care,7-May,3/2/2024,4/24/2024,1
5,After School Care,7-May,3/2/2024,5/27/2024,1
5,After School Care,7-May,3/2/2024,6/10/2024,1
6,After School Care,13-Nov,3/10/2024,6/10/2024,1
6,After School Care,13-Nov,3/10/2024,3/12/2024,1
6,After School Care,13-Nov,3/10/2024,3/29/2024,1
6,After School Care,13-Nov,3/10/2024,5/7/2024,1
6,After School Care,13-Nov,3/10/2024,4/14/2024,1
6,After School Care,13-Nov,3/10/2024,3/28/2024,1
6,After School Care,13-Nov,3/10/2024,6/7/2024,1
6,After School Care,13-Nov,3/10/2024,5/15/2024,1
6,After School Care,13-Nov,3/10/2024,3/28/2024,1
6,After School Care,13-Nov,3/10/2024,3/29/2024,1
6,After School Care,13-Nov,3/10/2024,6/13/2024,1
6,After School Care,13-Nov,3/10/2024,5/19/2024,1
6,After School Care,13-Nov,3/10/2024,4/30/2024,1
6,After School Care,13-Nov,3/10/2024,6/22/2024,1
6,After School Care,13-Nov,3/10/2024,4/11/2024,1
6,After School Care,13-Nov,3/10/2024,4/18/2024,1
6,After School Care,13-Nov,3/10/2024,4/17/2024,1
6,After School Care,13-Nov,3/10/2024,5/30/2024,1
6,After School Care,13-Nov,3/10/2024,6/21/2024,1
6,After School Care,13-Nov,3/10/2024,3/10/2024,1
7,After School Care,13-Nov,4/22/2024,5/27/2024,1
7,After School Care,13-Nov,4/22/2024,5/29/2024,1
7,After School Care,13-Nov,4/22/2024,8/3/2024,1
7,After School Care,13-Nov,4/22/2024,7/14/2024,1
7,After School Care,13-Nov,4/22/2024,7/29/2024,1
7,After School Care,13-Nov,4/22/2024,8/11/2024,1
7,After School Care,13-Nov,4/22/2024,7/19/2024,1
7,After School Care,13-Nov,4/22/2024,7/29/2024,1
7,After School Care,13-Nov,4/22/2024,5/16/2024,1
7,After School Care,13-Nov,4/22/2024,7/23/2024,1
7,After School Care,13-Nov,4/22/2024,5/9/2024,1
7,After School Care,13-Nov,4/22/2024,8/9/2024,1
8,STEM Club,13-Nov,4/24/2024,8/20/2024,1
8,STEM Club,13-Nov,4/24/2024,5/15/2024,0
8,STEM Club,13-Nov,4/24/2024,8/11/2024,1
8,STEM Club,13-Nov,4/24/2024,5/23/2024,1
8,STEM Club,13-Nov,4/24/2024,5/31/2024,1
8,STEM Club,13-Nov,4/24/2024,8/3/2024,1
8,STEM Club,13-Nov,4/24/2024,8/10/2024,1
8,STEM Club,13-Nov,4/24/2024,6/13/2024,1
8,STEM Club,13-Nov,4/24/2024,6/16/2024,1
8,STEM Club,13-Nov,4/24/2024,5/1/2024,1
8,STEM Club,13-Nov,4/24/2024,5/20/2024,1
8,STEM Club,13-Nov,4/24/2024,5/20/2024,1
8,STEM Club,13-Nov,4/24/2024,7/30/2024,0
8,STEM Club,13-Nov,4/24/2024,5/14/2024,1
8,STEM Club,13-Nov,4/24/2024,5/23/2024,1
8,STEM Club,13-Nov,4/24/2024,7/29/2024,1
8,STEM Club,13-Nov,4/24/2024,5/21/2024,1
8,STEM Club,13-Nov,4/24/2024,8/12/2024,1
8,STEM Club,13-Nov,4/24/2024,6/26/2024,1
8,STEM Club,13-Nov,4/24/2024,7/29/2024,1
8,STEM Club,13-Nov,4/24/2024,7/1/2024,1
8,STEM Club,13-Nov,4/24/2024,6/23/2024,0
8,STEM Club,13-Nov,4/24/2024,6/10/2024,1
8,STEM Club,13-Nov,4/24/2024,5/12/2024,1
8,STEM Club,13-Nov,4/24/2024,4/27/2024,1
8,STEM Club,13-Nov,4/24/2024,5/28/2024,1
9,Summer Camp,10-Aug,1/17/2024,1/25/2024,1
9,Summer Camp,10-Aug,1/17/2024,2/28/2024,1
9,Summer Camp,10-Aug,1/17/2024,5/13/2024,1
9,Summer Camp,10-Aug,1/17/2024,3/4/2024,1
9,Summer Camp,10-Aug,1/17/2024,2/24/2024,0
9,Summer Camp,10-Aug,1/17/2024,4/18/2024,0
9,Summer Camp,10-Aug,1/17/2024,2/27/2024,1
9,Summer Camp,10-Aug,1/17/2024,5/14/2024,1
9,Summer Camp,10-Aug,1/17/2024,2/11/2024,0
9,Summer Camp,10-Aug,1/17/2024,4/24/2024,1
9,Summer Camp,10-Aug,1/17/2024,3/6/2024,1
9,Summer Camp,10-Aug,1/17/2024,2/10/2024,1
9,Summer Camp,10-Aug,1/17/2024,2/9/2024,1
9,Summer Camp,10-Aug,1/17/2024,1/29/2024,0
9,Summer Camp,10-Aug,1/17/2024,3/16/2024,0
9,Summer Camp,10-Aug,1/17/2024,1/23/2024,1
9,Summer Camp,10-Aug,1/17/2024,3/13/2024,1
9,Summer Camp,10-Aug,1/17/2024,2/21/2024,1
9,Summer Camp,10-Aug,1/17/2024,3/1/2024,1
9,Summer Camp,10-Aug,1/17/2024,2/5/2024,1
9,Summer Camp,10-Aug,1/17/2024,3/21/2024,1
9,Summer Camp,10-Aug,1/17/2024,1/24/2024,1
9,Summer Camp,10-Aug,1/17/2024,5/5/2024,1
9,Summer Camp,10-Aug,1/17/2024,2/1/2024,1
9,Summer Camp,10-Aug,1/17/2024,1/30/2024,1
9,Summer Camp,10-Aug,1/17/2024,4/1/2024,0
9,Summer Camp,10-Aug,1/17/2024,5/10/2024,0
9,Summer Camp,10-Aug,1/17/2024,4/12/2024,1
9,Summer Camp,10-Aug,1/17/2024,1/31/2024,1
9,Summer Camp,10-Aug,1/17/2024,4/17/2024,1
9,Summer Camp,10-Aug,1/17/2024,4/23/2024,1
9,Summer Camp,10-Aug,1/17/2024,3/22/2024,1
9,Summer Camp,10-Aug,1/17/2024,2/17/2024,1
9,Summer Camp,10-Aug,1/17/2024,4/12/2024,1
9,Summer Camp,10-Aug,1/17/2024,3/19/2024,1
9,Summer Camp,10-Aug,1/17/2024,4/11/2024,1
9,Summer Camp,10-Aug,1/17/2024,3/7/2024,1
10,Arts & Crafts,7-May,1/16/2024,2/6/2024,0
10,Arts & Crafts,7-May,1/16/2024,4/17/2024,1
10,Arts & Crafts,7-May,1/16/2024,5/13/2024,0
10,Arts & Crafts,7-May,1/16/2024,3/22/2024,0
10,Arts & Crafts,7-May,1/16/2024,3/31/2024,1
10,Arts & Crafts,7-May,1/16/2024,2/10/2024,1
10,Arts & Crafts,7-May,1/16/2024,1/31/2024,1
10,Arts & Crafts,7-May,1/16/2024,3/6/2024,0
10,Arts & Crafts,7-May,1/16/2024,4/25/2024,1
11,Arts & Crafts,13-Nov,4/9/2024,7/11/2024,1
11,Arts & Crafts,13-Nov,4/9/2024,7/18/2024,1
11,Arts & Crafts,13-Nov,4/9/2024,5/1/2024,1
11,Arts & Crafts,13-Nov,4/9/2024,4/18/2024,1
11,Arts & Crafts,13-Nov,4/9/2024,8/4/2024,1
11,Arts & Crafts,13-Nov,4/9/2024,6/16/2024,1
11,Arts & Crafts,13-Nov,4/9/2024,7/17/2024,1
11,Arts & Crafts,13-Nov,4/9/2024,5/12/2024,1
11,Arts & Crafts,13-Nov,4/9/2024,5/30/2024,0
11,Arts & Crafts,13-Nov,4/9/2024,7/12/2024,1
11,Arts & Crafts,13-Nov,4/9/2024,4/18/2024,1
11,Arts & Crafts,13-Nov,4/9/2024,4/27/2024,1
11,Arts & Crafts,13-Nov,4/9/2024,6/5/2024,1
11,Arts & Crafts,13-Nov,4/9/2024,7/13/2024,1
11,Arts & Crafts,13-Nov,4/9/2024,4/9/2024,1
11,Arts & Crafts,13-Nov,4/9/2024,8/6/2024,1
11,Arts & Crafts,13-Nov,4/9/2024,6/16/2024,1
11,Arts & Crafts,13-Nov,4/9/2024,7/26/2024,1
11,Arts & Crafts,13-Nov,4/9/2024,4/12/2024,1
11,Arts & Crafts,13-Nov,4/9/2024,4/24/2024,1
11,Arts & Crafts,13-Nov,4/9/2024,5/2/2024,0
11,Arts & Crafts,13-Nov,4/9/2024,6/27/2024,1
11,Arts & Crafts,13-Nov,4/9/2024,8/5/2024,1
11,Arts & Crafts,13-Nov,4/9/2024,4/10/2024,1
11,Arts & Crafts,13-Nov,4/9/2024,7/30/2024,1
11,Arts & Crafts,13-Nov,4/9/2024,7/9/2024,1
11,Arts & Crafts,13-Nov,4/9/2024,5/10/2024,1
11,Arts & Crafts,13-Nov,4/9/2024,7/8/2024,1
11,Arts & Crafts,13-Nov,4/9/2024,7/1/2024,0
11,Arts & Crafts,13-Nov,4/9/2024,5/2/2024,1
11,Arts & Crafts,13-Nov,4/9/2024,4/20/2024,1
11,Arts & Crafts,13-Nov,4/9/2024,5/28/2024,1
11,Arts & Crafts,13-Nov,4/9/2024,5/13/2024,1
11,Arts & Crafts,13-Nov,4/9/2024,5/11/2024,1
11,Arts & Crafts,13-Nov,4/9/2024,5/11/2024,1
11,Arts & Crafts,13-Nov,4/9/2024,6/8/2024,1
11,Arts & Crafts,13-Nov,4/9/2024,5/29/2024,1
12,After School Care,7-May,3/2/2024,6/21/2024,1
12,After School Care,7-May,3/2/2024,5/29/2024,1
12,After School Care,7-May,3/2/2024,5/26/2024,1
12,After School Care,7-May,3/2/2024,3/14/2024,1
12,After School Care,7-May,3/2/2024,4/29/2024,1
12,After School Care,7-May,3/2/2024,3/20/2024,1
12,After School Care,7-May,3/2/2024,4/19/2024,0
12,After School Care,7-May,3/2/2024,6/9/2024,1
12,After School Care,7-May,3/2/2024,3/13/2024,0
12,After School Care,7-May,3/2/2024,5/1/2024,1
12,After School Care,7-May,3/2/2024,6/14/2024,1
12,After School Care,7-May,3/2/2024,3/20/2024,1
12,After School Care,7-May,3/2/2024,5/16/2024,1
12,After School Care,7-May,3/2/2024,3/10/2024,0
12,After School Care,7-May,3/2/2024,5/11/2024,0
12,After School Care,7-May,3/2/2024,3/29/2024,1
12,After School Care,7-May,3/2/2024,5/18/2024,1
12,After School Care,7-May,3/2/2024,6/4/2024,0
12,After School Care,7-May,3/2/2024,4/22/2024,0
12,After School Care,7-May,3/2/2024,5/23/2024,1
12,After School Care,7-May,3/2/2024,6/20/2024,0
12,After School Care,7-May,3/2/2024,3/17/2024,1
12,After School Care,7-May,3/2/2024,6/26/2024,1
12,After School Care,7-May,3/2/2024,5/9/2024,0
13,Arts & Crafts,10-Aug,3/23/2024,7/12/2024,1
13,Arts & Crafts,10-Aug,3/23/2024,7/9/2024,1
13,Arts & Crafts,10-Aug,3/23/2024,5/26/2024,1
13,Arts & Crafts,10-Aug,3/23/2024,6/16/2024,1
13,Arts & Crafts,10-Aug,3/23/2024,7/16/2024,1
13,Arts & Crafts,10-Aug,3/23/2024,4/8/2024,1
13,Arts & Crafts,10-Aug,3/23/2024,6/1/2024,1
13,Arts & Crafts,10-Aug,3/23/2024,6/19/2024,1
13,Arts & Crafts,10-Aug,3/23/2024,5/6/2024,1
13,Arts & Crafts,10-Aug,3/23/2024,3/26/2024,1
13,Arts & Crafts,10-Aug,3/23/2024,4/27/2024,1
13,Arts & Crafts,10-Aug,3/23/2024,5/31/2024,1
14,After School Care,13-Nov,1/1/2024,3/17/2024,1
14,After School Care,13-Nov,1/1/2024,4/1/2024,1
14,After School Care,13-Nov,1/1/2024,3/2/2024,1
14,After School Care,13-Nov,1/1/2024,3/3/2024,1
14,After School Care,13-Nov,1/1/2024,4/22/2024,1
14,After School Care,13-Nov,1/1/2024,1/25/2024,1
14,After School Care,13-Nov,1/1/2024,2/25/2024,0
15,Arts & Crafts,13-Nov,6/12/2024,6/30/2024,1
15,Arts & Crafts,13-Nov,6/12/2024,7/1/2024,1
15,Arts & Crafts,13-Nov,6/12/2024,8/7/2024,1
15,Arts & Crafts,13-Nov,6/12/2024,6/29/2024,0
15,Arts & Crafts,13-Nov,6/12/2024,7/28/2024,1
15,Arts & Crafts,13-Nov,6/12/2024,9/24/2024,1
15,Arts & Crafts,13-Nov,6/12/2024,7/30/2024,1
15,Arts & Crafts,13-Nov,6/12/2024,6/25/2024,1
15,Arts & Crafts,13-Nov,6/12/2024,6/26/2024,0
15,Arts & Crafts,13-Nov,6/12/2024,7/12/2024,0
15,Arts & Crafts,13-Nov,6/12/2024,6/12/2024,1
15,Arts & Crafts,13-Nov,6/12/2024,10/6/2024,1
15,Arts & Crafts,13-Nov,6/12/2024,8/4/2024,1
15,Arts & Crafts,13-Nov,6/12/2024,10/7/2024,1
15,Arts & Crafts,13-Nov,6/12/2024,6/14/2024,0
15,Arts & Crafts,13-Nov,6/12/2024,6/27/2024,1
15,Arts & Crafts,13-Nov,6/12/2024,9/6/2024,1
15,Arts & Crafts,13-Nov,6/12/2024,8/7/2024,1
15,Arts & Crafts,13-Nov,6/12/2024,8/25/2024,1
15,Arts & Crafts,13-Nov,6/12/2024,6/23/2024,1
15,Arts & Crafts,13-Nov,6/12/2024,8/24/2024,1
15,Arts & Crafts,13-Nov,6/12/2024,9/15/2024,1
15,Arts & Crafts,13-Nov,6/12/2024,6/27/2024,1
15,Arts & Crafts,13-Nov,6/12/2024,8/22/2024,1
15,Arts & Crafts,13-Nov,6/12/2024,9/21/2024,1
15,Arts & Crafts,13-Nov,6/12/2024,8/26/2024,1
15,Arts & Crafts,13-Nov,6/12/2024,7/5/2024,1
15,Arts & Crafts,13-Nov,6/12/2024,7/9/2024,0
15,Arts & Crafts,13-Nov,6/12/2024,10/6/2024,0
15,Arts & Crafts,13-Nov,6/12/2024,6/19/2024,0
15,Arts & Crafts,13-Nov,6/12/2024,9/11/2024,0
15,Arts & Crafts,13-Nov,6/12/2024,7/17/2024,0
15,Arts & Crafts,13-Nov,6/12/2024,9/9/2024,1
15,Arts & Crafts,13-Nov,6/12/2024,6/19/2024,1
15,Arts & Crafts,13-Nov,6/12/2024,8/8/2024,1
15,Arts & Crafts,13-Nov,6/12/2024,8/10/2024,1
15,Arts & Crafts,13-Nov,6/12/2024,7/31/2024,1
15,Arts & Crafts,13-Nov,6/12/2024,7/9/2024,1
15,Arts & Crafts,13-Nov,6/12/2024,9/11/2024,1
16,Youth Sports,7-May,3/25/2024,6/5/2024,1
16,Youth Sports,7-May,3/25/2024,7/12/2024,1
16,Youth Sports,7-May,3/25/2024,3/25/2024,1
16,Youth Sports,7-May,3/25/2024,5/14/2024,1
16,Youth Sports,7-May,3/25/2024,5/8/2024,1
16,Youth Sports,7-May,3/25/2024,6/9/2024,1
16,Youth Sports,7-May,3/25/2024,3/28/2024,0
16,Youth Sports,7-May,3/25/2024,5/25/2024,1
16,Youth Sports,7-May,3/25/2024,5/28/2024,1
16,Youth Sports,7-May,3/25/2024,7/15/2024,1
16,Youth Sports,7-May,3/25/2024,7/6/2024,1
16,Youth Sports,7-May,3/25/2024,4/25/2024,1
16,Youth Sports,7-May,3/25/2024,4/27/2024,1
16,Youth Sports,7-May,3/25/2024,6/24/2024,1
16,Youth Sports,7-May,3/25/2024,6/27/2024,1
16,Youth Sports,7-May,3/25/2024,6/4/2024,1
16,Youth Sports,7-May,3/25/2024,5/2/2024,1
16,Youth Sports,7-May,3/25/2024,4/19/2024,1
17,Summer Camp,10-Aug,3/19/2024,5/8/2024,1
17,Summer Camp,10-Aug,3/19/2024,5/20/2024,0
17,Summer Camp,10-Aug,3/19/2024,6/24/2024,0
17,Summer Camp,10-Aug,3/19/2024,5/9/2024,0
17,Summer Camp,10-Aug,3/19/2024,4/25/2024,1
17,Summer Camp,10-Aug,3/19/2024,6/23/2024,0
17,Summer Camp,10-Aug,3/19/2024,6/14/2024,1
17,Summer Camp,10-Aug,3/19/2024,6/5/2024,1
17,Summer Camp,10-Aug,3/19/2024,4/17/2024,1
17,Summer Camp,10-Aug,3/19/2024,7/15/2024,1
17,Summer Camp,10-Aug,3/19/2024,7/2/2024,1
17,Summer Camp,10-Aug,3/19/2024,5/8/2024,1
17,Summer Camp,10-Aug,3/19/2024,6/7/2024,1
17,Summer Camp,10-Aug,3/19/2024,3/23/2024,1
17,Summer Camp,10-Aug,3/19/2024,4/16/2024,0
17,Summer Camp,10-Aug,3/19/2024,3/22/2024,1
17,Summer Camp,10-Aug,3/19/2024,3/28/2024,1
17,Summer Camp,10-Aug,3/19/2024,5/13/2024,1
17,Summer Camp,10-Aug,3/19/2024,4/4/2024,0
17,Summer Camp,10-Aug,3/19/2024,5/31/2024,0
17,Summer Camp,10-Aug,3/19/2024,4/4/2024,1
17,Summer Camp,10-Aug,3/19/2024,6/10/2024,1
17,Summer Camp,10-Aug,3/19/2024,6/14/2024,1
17,Summer Camp,10-Aug,3/19/2024,5/26/2024,1
17,Summer Camp,10-Aug,3/19/2024,4/21/2024,1
17,Summer Camp,10-Aug,3/19/2024,3/24/2024,0
17,Summer Camp,10-Aug,3/19/2024,5/10/2024,1
17,Summer Camp,10-Aug,3/19/2024,5/23/2024,1
17,Summer Camp,10-Aug,3/19/2024,6/3/2024,0
17,Summer Camp,10-Aug,3/19/2024,7/3/2024,1
17,Summer Camp,10-Aug,3/19/2024,4/30/2024,1
18,Arts & Crafts,7-May,1/26/2024,2/2/2024,1
18,Arts & Crafts,7-May,1/26/2024,5/17/2024,1
18,Arts & Crafts,7-May,1/26/2024,5/3/2024,1
18,Arts & Crafts,7-May,1/26/2024,3/17/2024,1
18,Arts & Crafts,7-May,1/26/2024,4/13/2024,1
19,Summer Camp,7-May,6/2/2024,7/30/2024,1
19,Summer Camp,7-May,6/2/2024,7/27/2024,1
19,Summer Camp,7-May,6/2/2024,9/24/2024,1
19,Summer Camp,7-May,6/2/2024,6/8/2024,1
